course_source,voice_tag,phrase_or_pattern,chapter_tags,files_found_in,hit_count,frequency,representative_snippet,description
Gen-Psych,gen-psych,Persona: Herr Prof / Awesome-Sauce,Foundations-History; all chapters,SS16 (Wade); FS16 (King-3e); SS26 (Myers-13e),3,occasional (3–7 files),Slide 3 Your Professor Jon Oxford PhD (Herr Prof. Dr.  or  Über-Ninja) At the University of Missouri BA Biology – Animal Behavioral Ecology MA and PhD – Develo,Instructor persona
Gen-Psych,gen-psych,Persona: Prof. Jon Oxford sig,Course intro / syllabus,SS16/Wade,3,occasional (3–7 files),"Psychology Exam 1 Spring Semester 2016, Prof. Jon Oxford What was the textbook talking about when it suggested that aspi",Instructor persona
Gen-Psych,gen-psych,Voice: 2+2=5 memory metaphor,Memory,FS16 (King-3e); FS21 (Myers-13e),2,rare (2 files),"omething If a child can understand that 2+2=4 and 4-2=2, then the child possesses the characteristic of Animism. Egocentrism. Algebra. Reversibility. Between ages 7 and 11, many of the restr",Memory-as-reconstruction metaphor
Gen-Psych,gen-psych,Voice: Animal Model connector,Learning; Neuroscience-Biology,"FS21–FS22 (Myers-13e, 3 semesters)",4,occasional (3–7 files),"dulting? Why? ## Slide 85 Remember that Animal Model… Sensation & Perception Take in environment Learning Make associations that = beneficial changes Memory? How does this chapter fit? For humans, ask",Cross-chapter bridge — animal research
Gen-Psych,gen-psych,Voice: Asch conformity,Social-Psychology,"SS17 (Wade); FS17–FS20v (King-4e, 4 semesters); FS21–SS26 (Myers-13e, 7 semesters)",22,perennial (15+ files),"cohesion or it can also be destructive. Asch’s experiment In this experiment, a participant was brought into a room with five other people and shown two cards, one with a single vertical lin",Conformity study framing
Gen-Psych,gen-psych,Voice: Backward Digit Span demo,Memory,"SS17 (Wade); FS17–SS21v (King-4e, 5 semesters); FS21–SS26 (Myers-13e, 6 semesters)",11,recurring (8–14 files),"8.8 - The Value of Chunking Animation - Digit Span Long-term memory: Final destination Organization in long-term memory Learning Objective 8.10 – Describe what semantic categories are, and e",Working-memory in-class demonstration
Gen-Psych,gen-psych,Voice: Bandura / Bobo Doll example,Learning,"FS19 (King-4e); FS21–SS26 (Myers-13e, 6 semesters)",17,perennial (15+ files),rving and imitating a specific behavior Bobo doll experiment focused on vicarious reinforcement and vicarious punishment. ## Slide 62 ## Slide 63 The Famous Bobo Doll Experiment [NOTES] Noti,Observational-learning classic example
Gen-Psych,gen-psych,Voice: Bystander effect example,Social-Psychology,"FS17–FS20v (King-4e, 4 semesters); FS21 (Myers-13e)",5,occasional (3–7 files),"t an emergency can inhibit helping. The bystander effect is most apparent in situations where the presence of others inhibits one’s noticing an event, interpreting it as an emergency, or ass",Diffusion-of-responsibility example
Gen-Psych,gen-psych,Voice: Chess master opener,Thinking-Language-Intelligence,SS16–SS17 (Wade); FS16 (King-3e),2,rare (2 files),"gs-says-chess-champ Really? ## Slide 57 Chess Masters: Males > Females in number # of books differs Hours spent practicing Otherwise, boys differ in practice Write it down. How do boys and g",Expert cognition opener
Gen-Psych,gen-psych,Voice: Crash Course link,All chapters,"SS16–SS17 (Wade); FS16 (King-3e); FS17–SS21v (King-4e, 6 semesters); FS21–SS26 (Myers-13e, 7 semesters)",43,perennial (15+ files),e 1 Chapter 15: Psychological disorders Crash course Psychological Disorders ## Slide 2 Consider ## Slide 3 ## Slide 4 ## Slide 5 Discussion,Supplemental video link — student resource
Gen-Psych,gen-psych,Voice: Flashbulb / 9-11 ref,Memory,"FS16 (King-3e); FS17–SS21v (King-4e, 4 semesters); FS22 (Myers-13e)",9,recurring (8–14 files),"y ORIGIN: instructor-original MTIME: 2019-11-14  CHAPTER FIFTEEN:  PSYCHOLOGICAL DISORDERS Defining and Explaining Abnormal Behavior Abnormal behavior is a behavior that is deviant, maladapt",Flashbulb-memory personal anchor
Gen-Psych,gen-psych,Voice: Garcia taste aversion,Learning,"SS16–SS17 (Wade); FS16 (King-3e); FS19 (King-4e); FS21–SS26 (Myers-13e, 7 semesters)",28,perennial (15+ files),art 1) Limits on classical conditioning Garcia and Koelling’s taste-aversion research Animals and humans seem biologically prepared to learn some associations rather than others – food acqui,Biological constraints / preparedness example
Gen-Psych,gen-psych,Voice: HM case study framing,Memory; States-Consciousness,"FS19–SS21v (King-4e, 3 semesters); FS24–SS26 (Myers-13e, 3 semesters)",7,occasional (3–7 files),________________ Key Case Studies H.M. (Henry Molaison): What happened: ________________________________________________________ What we learned: ____________________________________________,HM / anterograde amnesia narrative anchor
